date,ma_max_temp,ma_rain,avg_price
2016/02/20,12.19210526,2.975657895,3300
2016/02/21,12.04868421,2.975657895,3300
2016/02/22,11.94736842,2.857236842,3150
2016/02/23,11.83684211,2.841447368,3150
2016/02/24,11.68881579,2.855263158,3110
2016/02/25,11.55394737,2.857894737,3110
2016/02/26,11.42236842,2.865789474,3070
2016/02/27,11.30723684,2.876315789,3070
2016/02/28,11.20197368,2.914473684,3070
2016/02/29,11.06315789,2.836842105,2910
2016/03/01,10.94210526,2.574342105,2910
2016/03/02,10.86710526,2.571052632,2860
2016/03/03,10.80460526,2.574342105,2860
2016/03/04,10.74144737,2.655263158,2910
2016/03/05,10.68355263,2.845394737,2910
2016/03/06,10.61973684,2.873684211,2910
2016/03/07,10.55592105,2.873684211,2950
2016/03/08,10.45855263,2.914473684,2900
2016/03/09,10.37236842,2.955921053,3140
2016/03/10,10.27368421,2.932236842,3100
2016/03/11,10.20065789,2.916447368,3050
2016/03/12,10.13618421,2.909868421,3050
2016/03/13,10.04868421,2.918421053,3050
2016/03/14,9.960526316,2.921052632,2960
2016/03/15,9.892105263,2.921052632,2900
2016/03/16,9.844736842,2.921052632,2800
2016/03/17,9.801973684,2.928947368,2740
2016/03/18,9.7375,3.006578947,2740
2016/03/19,9.692105263,2.994078947,2740
2016/03/20,9.623684211,2.994078947,2740
2016/03/21,9.568421053,2.982236842,2560
2016/03/22,9.536842105,2.960526316,2540
2016/03/23,9.481578947,2.973684211,2500
2016/03/24,9.413815789,2.9625,2460
2016/03/25,9.348026316,2.966447368,2500
2016/03/26,9.295394737,2.959868421,2500
2016/03/27,9.269736842,2.861842105,2500
2016/03/28,9.271052632,2.861842105,2460
2016/03/29,9.278289474,2.857894737,2380
2016/03/30,9.325,2.857236842,2300
2016/03/31,9.371710526,2.858552632,2300
2016/04/01,9.445394737,2.854605263,2300
2016/04/02,9.478289474,2.85,2300
2016/04/03,9.454605263,2.917105263,2300
2016/04/04,9.423026316,2.934868421,2450
2016/04/05,9.414473684,2.934210526,2390
2016/04/06,9.425657895,3.011184211,2390
2016/04/07,9.445394737,2.960526316,2440
2016/04/08,9.482894737,2.871710526,2320
2016/04/09,9.526315789,2.85,2320
2016/04/10,9.565789474,2.851315789,2320
